response,window,n,level,slopechange,deltaAIC,aic_simple,aic_seg
methane_pct,30.0,16,4.584437244270019,0.055749710757105324,7.696030541834148,15.792916914064698,8.09688637223055
methane_pct,40.0,20,4.494844842346937,0.09828885971104968,8.719073895533185,17.886223994118218,9.167150098585033
methane_pct,50.0,24,3.5286175052495254,0.10145021442040243,4.975278086139003,19.942141360167753,14.96686327402875
methane_pct,60.0,28,2.9891861377416884,0.10839088880012693,12.634855479548357,27.811077193846177,15.17622171429782
methane_pct,80.0,38,2.5637415255967895,0.10883424542215814,31.161955653636603,41.54478022005318,10.382824566416575
methane_pct,full,38,2.5637415255967895,0.10883424542215814,31.161955653636603,41.54478022005318,10.382824566416575
CH4_L_d,30.0,16,17.58613693913911,2.1677650527125922,4.685245697914439,82.41834060551406,77.73309490759962
CH4_L_d,40.0,20,9.117614648412989,1.09386700561885,0.788609721456595,102.19064409716162,101.40203437570503
CH4_L_d,50.0,24,1.9262365161569577,0.8366791944329678,1.432790061103617,119.96546723786167,118.53267717675806
CH4_L_d,60.0,28,-2.7973677783269544,0.7217485187537558,6.536814874865115,140.0714529264996,133.5346380516345
CH4_L_d,80.0,38,-3.9539889921304106,0.33583387650444896,2.6880425909301664,181.4046436332555,178.71660104232532
CH4_L_d,full,38,-3.9539889921304106,0.33583387650444896,2.6880425909301664,181.4046436332555,178.71660104232532
methane_yield_Nml_gVS,30.0,16,22.290942726154473,6.167088505379876,5.237288910249674,113.56131350218632,108.32402459193665
methane_yield_Nml_gVS,40.0,20,-5.8933527749246615,2.4737580363738187,0.15827527023674293,143.90999132889033,143.75171605865359
methane_yield_Nml_gVS,50.0,24,-23.40882249147553,1.531981000855472,0.9088958311234023,170.47890457511323,169.57000874398983
methane_yield_Nml_gVS,60.0,28,-24.25258953913283,1.8085734334434795,6.501131972345064,199.0509168923015,192.54978491995644
methane_yield_Nml_gVS,80.0,38,-22.344363901894376,0.9174271455033671,3.8324301272993466,262.9184837426565,259.0860536153572
methane_yield_Nml_gVS,full,38,-22.344363901894376,0.9174271455033671,3.8324301272993466,262.9184837426565,259.0860536153572
biogas,30.0,16,9.079979533049764,2.9475950511448046,1.765638106162399,95.89755328901086,94.13191518284846
biogas,40.0,20,-2.698513056979608,1.2689708400749253,-0.46191014832513133,119.90980148232362,120.37171163064875
biogas,50.0,24,-9.664904424733225,0.8755560628750326,0.5748331505665192,140.43595828641332,139.8611251358468
biogas,60.0,28,-15.168324263785381,0.6508153093126681,2.917904628908019,160.7169830885728,157.79907845966477
biogas,80.0,38,-15.81160654599563,0.0907048126656711,-0.36368547689821185,210.4955540282515,210.8592395051497
biogas,full,38,-15.81160654599563,0.0907048126656711,-0.36368547689821185,210.4955540282515,210.8592395051497
