iteration,model,treatment_balanced_mean_rmse,resampled_blank_ids
120,modified_gompertz,16.349042602116025,K1;K3;K1
120,persistence,20.644863895923564,K1;K3;K1
120,recent_rate,14.412375284014779,K1;K3;K1
120,zero_anchored_gompertz,17.129899839201492,K1;K3;K1
126,modified_gompertz,15.106500484385501,K3;K1;K2
126,persistence,19.577745654476963,K3;K1;K2
126,recent_rate,12.676722141153695,K3;K1;K2
126,zero_anchored_gompertz,15.70831893066809,K3;K1;K2
127,modified_gompertz,13.157346238710526,K1;K2;K2
127,persistence,18.359905887114454,K1;K2;K2
127,recent_rate,12.410798054340136,K1;K2;K2
127,zero_anchored_gompertz,14.095795600837826,K1;K2;K2
129,modified_gompertz,15.14607182849692,K2;K1;K1
129,persistence,19.55540688349931,K2;K1;K1
129,recent_rate,13.07654774709984,K2;K1;K1
129,zero_anchored_gompertz,15.927927813922304,K2;K1;K1
132,modified_gompertz,15.330538232396604,K1;K1;K1
132,persistence,19.623771889546624,K1;K1;K1
132,recent_rate,14.530054080114425,K1;K1;K1
132,zero_anchored_gompertz,16.914294082872154,K1;K1;K1
134,modified_gompertz,16.135153239964197,K3;K1;K2
134,persistence,20.406950670396746,K3;K1;K2
134,recent_rate,14.181227128590987,K3;K1;K2
134,zero_anchored_gompertz,16.640281741368867,K3;K1;K2
146,modified_gompertz,15.347855096771907,K2;K3;K2
146,persistence,19.917323635049346,K2;K3;K2
146,recent_rate,11.321587711399655,K2;K3;K2
146,zero_anchored_gompertz,15.50402268188402,K2;K3;K2
147,modified_gompertz,13.389683419628572,K1;K3;K3
147,persistence,18.526278610410152,K1;K3;K3
147,recent_rate,12.493269048246816,K1;K3;K3
147,zero_anchored_gompertz,14.454464180763424,K1;K3;K3
148,modified_gompertz,14.66212177281761,K1;K1;K3
148,persistence,18.556971349916473,K1;K1;K3
148,recent_rate,16.015660481756733,K1;K1;K3
148,zero_anchored_gompertz,15.328797644866809,K1;K1;K3
149,modified_gompertz,13.318948136267291,K1;K2;K1
149,persistence,18.519556736888195,K1;K2;K1
149,recent_rate,12.124607868663329,K1;K2;K1
149,zero_anchored_gompertz,14.308110295257158,K1;K2;K1
155,modified_gompertz,13.834227048875805,K2;K1;K1
155,persistence,19.033147683044703,K2;K1;K1
155,recent_rate,11.521128883353557,K2;K1;K1
155,zero_anchored_gompertz,14.865878233961013,K2;K1;K1
164,modified_gompertz,16.183631955963833,K3;K1;K2
164,persistence,20.53763954510117,K3;K1;K2
164,recent_rate,14.14346776675999,K3;K1;K2
164,zero_anchored_gompertz,16.64725772043755,K3;K1;K2
165,modified_gompertz,14.995985972717579,K2;K1;K1
165,persistence,18.883001123420165,K2;K1;K1
165,recent_rate,15.171534454779689,K2;K1;K1
165,zero_anchored_gompertz,15.684575185863519,K2;K1;K1
168,modified_gompertz,15.737397374265619,K2;K1;K2
168,persistence,20.13896188286324,K2;K1;K2
168,recent_rate,12.177185279213264,K2;K1;K2
168,zero_anchored_gompertz,16.616208632384943,K2;K1;K2
170,modified_gompertz,15.17004213055864,K1;K3;K3
170,persistence,19.553191875158017,K1;K3;K3
170,recent_rate,13.222361367489373,K1;K3;K3
170,zero_anchored_gompertz,16.0917537568459,K1;K3;K3
177,modified_gompertz,14.615222767634563,K1;K1;K3
177,persistence,18.42641550750801,K1;K1;K3
177,recent_rate,16.04940763300248,K1;K1;K3
177,zero_anchored_gompertz,15.318575673312314,K1;K1;K3
179,modified_gompertz,14.944845700039322,K3;K1;K1
179,persistence,19.365856535205857,K3;K1;K1
179,recent_rate,13.611944117028264,K3;K1;K1
179,zero_anchored_gompertz,15.765238073723108,K3;K1;K1
180,modified_gompertz,14.944845707521395,K3;K1;K1
180,persistence,19.365856535205857,K3;K1;K1
180,recent_rate,13.611944117028264,K3;K1;K1
180,zero_anchored_gompertz,15.76523807602115,K3;K1;K1
181,modified_gompertz,14.823259316569807,K3;K2;K3
181,persistence,18.83675020440832,K3;K2;K3
181,recent_rate,14.114381597312715,K3;K2;K3
181,zero_anchored_gompertz,14.914826318171297,K3;K2;K3
189,modified_gompertz,16.138470226372277,K3;K3;K1
189,persistence,20.51879482647123,K3;K3;K1
189,recent_rate,14.711170695998753,K3;K3;K1
189,zero_anchored_gompertz,16.883207212097886,K3;K3;K1
194,modified_gompertz,15.106500488793788,K2;K3;K1
194,persistence,19.577745654476963,K2;K3;K1
194,recent_rate,12.676722141153695,K2;K3;K1
194,zero_anchored_gompertz,15.708318928676508,K2;K3;K1
195,modified_gompertz,17.016078385626074,K2;K3;K1
195,persistence,21.226101050112835,K2;K3;K1
195,recent_rate,15.138146261278168,K2;K3;K1
195,zero_anchored_gompertz,17.55330345637905,K2;K3;K1
198,modified_gompertz,14.836518732767718,K2;K3;K1
198,persistence,18.764563838333476,K2;K3;K1
198,recent_rate,15.056981389496055,K2;K3;K1
198,zero_anchored_gompertz,15.331956248247893,K2;K3;K1
201,modified_gompertz,12.924718308605058,K2;K1;K3
201,persistence,18.202486435096112,K2;K1;K3
201,recent_rate,12.275892863653759,K2;K1;K3
201,zero_anchored_gompertz,13.59227769850738,K2;K1;K3
230,modified_gompertz,15.313018339440863,K3;K2;K2
230,persistence,19.265430651159736,K3;K2;K2
230,recent_rate,15.586237217160228,K3;K2;K2
230,zero_anchored_gompertz,15.428743391374024,K3;K2;K2
232,modified_gompertz,16.465027505046503,K3;K1;K3
232,persistence,20.786742080825242,K3;K1;K3
232,recent_rate,14.25628422035613,K3;K1;K3
232,zero_anchored_gompertz,17.244369239762367,K3;K1;K3
234,modified_gompertz,14.944845700282428,K3;K3;K1
234,persistence,19.365856535205857,K3;K3;K1
234,recent_rate,13.611944117028264,K3;K3;K1
234,zero_anchored_gompertz,15.765238071825955,K3;K3;K1
236,modified_gompertz,14.627881435907526,K1;K2;K3
