model,median,ci_low,ci_high,n_iterations
modified_gompertz,14.944845707521395,13.151894211787347,17.230069636956607,71
persistence,19.265430651159736,18.359905887114454,21.478981233425934,71
recent_rate,13.611944117028264,11.114561903099144,16.055439627746072,71
zero_anchored_gompertz,15.684575185863519,13.625685952240312,17.839350456342142,71
