,pyrolysis_temperature_c,bet_surface_area_m2_g,electrical_conductivity_us_cm,ph
pyrolysis_temperature_c,1.0,0.9793193853342589,0.9949303394564254,0.9822126253196869
bet_surface_area_m2_g,0.9793193853342589,1.0,0.6820547609763842,0.9953826420438184
electrical_conductivity_us_cm,0.9949303394564254,0.6820547609763842,1.0,0.6106021644117169
ph,0.9822126253196869,0.9953826420438184,0.6106021644117169,1.0
